solution_id,designation,source_id,ra,dec,clon,clat,ra_pmra_corr,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper
1635721458409799680,Gaia DR2 2672830475550878720,2672830475550878720,323.161606301156,-2.9810889589136145,21h32m38.79s,-02d58m51.92s,-0.4750313461,89,594.3844160064949,2.1741367932696685,273.3887023926,18.7531967163,9,187.01990268204017,10.920163643708227,17.1261081696,19.6716690063,10,590.0904334040708,8.466078069106487,69.7005691528,17.8346233368,1.3074204922,0,1.8370456696,0.91847229,0.9185733795,,,
1635721458409799680,Gaia DR2 2672830544270364160,2672830544270364160,323.1572867315159,-2.974634230333055,21h32m37.75s,-02d58m28.68s,,88,129.77858954688983,1.3637105468919164,95.1657867432,20.4053573608,7,124.44192716130904,27.185111393488857,4.5775766373,20.1139717102,8,105.34987518593535,14.20703015643819,7.4153342247,19.7053356171,1.7706449032,0,0.4086360931,-0.2913856506,0.7000217438,,,
1635721458409799680,Gaia DR2 2672830441191125632,2672830441191125632,323.1508178625057,-2.9907395988791547,21h32m36.20s,-02d59m26.66s,-0.3442603052,95,220.10490057767365,1.6672090946473783,132.0199737549,19.8317909241,8,70.20708726235755,15.813057795646973,4.4398174286,20.7354354858,11,278.14847865270764,11.379247336543969,24.4434871674,18.651227951,1.5826797485,0,2.0842075348,0.9036445618,1.180562973,,,
1635721458409799680,Gaia DR2 2672830479845331584,2672830479845331584,323.16394522802216,-2.984336605543395,21h32m39.35s,-02d59m03.61s,-0.4026513994,92,1704.10315887922,2.993865146442129,569.1983642578,17.60962677,9,776.4146487672042,18.134655170503944,42.8138618469,18.1261539459,8,1294.7114379588036,10.478719447893528,123.5562667847,16.9814872742,1.2153760195,0,1.1446666718,0.5165271759,0.6281394958,,,
1635721458409799680,Gaia DR2 2672830509911129728,2672830509911129728,323.14411568838585,-2.983494504221878,21h32m34.59s,-02d59m00.58s,-0.4193757176,77,108.07760448608978,1.5397729192435619,70.190612793,20.6040267944,5,24.845538362719488,2.825432594797111,8.7935342789,21.8632678986,8,168.39735730229006,13.540450978045156,12.4366140366,19.1960811615,1.7880012989,0,2.6671867371,1.2592411041,1.4079456329,,,
1635721458409799680,Gaia DR2 2672830475550875008,2672830475550875008,323.16329510617857,-2.9862571030810647,21h32m39.19s,-02d59m10.53s,-0.4016046226,96,3331.2145963587814,4.554198616154157,731.4600830078,16.8818588257,9,916.3575046264243,17.16297936519867,53.3915176392,17.94622612,9,3628.7662375805257,14.034133261567884,258.5671691895,15.8625221252,1.3644043207,0,2.0837039948,1.0643672943,1.0193367004,0.4293000102,0.2542999983,0.5874000192
1635721458409799680,Gaia DR2 2672830548565442944,2672830548565442944,323.1507956312868,-2.970973933337455,21h32m36.19s,-02d58m15.51s,-0.4898832142,98,750.9901327572852,2.1413656175635536,350.7061767578,18.4992809296,11,432.78960823069724,17.898911657276038,24.1796607971,18.7606964111,9,492.2545963442138,14.278357503770753,34.4755744934,18.0314464569,1.2317661047,0,0.7292499542,0.2614154816,0.4678344727,,,
1635721458409799680,Gaia DR2 2672830441191122944,2672830441191122944,323.15749940913526,-2.992852708532178,21h32m37.80s,-02d59m34.27s,-0.4264897108,96,3752.2220049768953,5.485704115727564,684.0000610352,16.7526435852,11,978.7639923251019,24.60538974071776,39.7784385681,17.8746929169,11,4380.701648511277,19.11842507158786,229.1350708008,15.6580610275,1.4283444881,0,2.2166318893,1.1220493317,1.0945825577,0.0410000011,0.0175000001,0.061999999
1635721458409799680,Gaia DR2 2672830509910604544,2672830509910604544,323.14559906820773,-2.9900567971346983,21h32m34.94s,-02d59m24.20s,-0.3852701783,94,1993.0025078844237,3.2245905737057377,618.0637207031,17.4395961761,8,613.3620662686656,21.819151683199657,28.1111793518,18.3820953369,8,2094.033584790534,5.046532012550167,414.9450683594,16.4594612122,1.3584506512,0,1.9226341248,0.9424991608,0.980134964,,,
1635721458409799680,Gaia DR2 2672830544274710528,2672830544274710528,323.15267564304696,-2.9690128927927066,21h32m36.64s,-02d58m08.45s,-0.3815412819,104,293.02240751056513,1.7316371044246905,169.2169799805,19.5211143494,9,134.40378262028483,7.1298112837098095,18.8509597778,20.0303592682,10,249.15392388793086,12.458260855620205,19.9990940094,18.7707500458,1.3089705706,0,1.2596092224,0.5092449188,0.7503643036,,,
