designation,ra,dec,clon,clat,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper
Gaia DR2 2674073061129177984,324.9676895608715,-2.9074674896862867,21h39m52.25s,-02d54m26.88s,119,1160.1256793452235,2.3732115635007727,488.8420715332,18.0271034241,11,596.8705451946836,17.280434751924805,34.5402488708,18.411687851,12,788.2392094923404,20.49946369128601,38.4516983032,17.520275116,1.1939307451,0,0.891412735,0.3845844269,0.5068283081,,,
Gaia DR2 2674118072386841472,324.8732838165847,-2.940692103710211,21h39m29.59s,-02d56m26.49s,58,84.37583502019807,1.4562556587511353,57.9402618408,20.8728199005,4,35.79541792210906,6.717131577038987,5.3289737701,21.4668197632,5,58.968391466238046,10.029991370516802,5.8792066574,20.3353710175,1.1231155396,0,1.1314487457,0.5939998627,0.5374488831,,,
Gaia DR2 2674120168330510336,324.9457493515616,-2.8813928893272354,21h39m46.98s,-02d52m53.01s,104,2264.1720209201326,3.4860622531758767,649.4927368164,17.3010921478,10,1212.6739168734925,12.611083466381334,96.1593780518,17.6420288086,10,1509.1343464841982,12.992523082447999,116.1540603638,16.8150997162,1.2021207809,0,0.8269290924,0.3409366608,0.4859924316,,,
Gaia DR2 2674070793386350976,324.91579128948666,-2.9756271526471476,21h39m39.79s,-02d58m32.26s,97,265.11761529255386,1.6366857320493748,161.9844360352,19.6297683716,9,126.4151855654242,13.253196926588421,9.5384674072,20.0968894958,9,201.72957849929074,20.02950874857938,10.0716190338,18.9999961853,1.2377327681,0,1.0968933105,0.4671211243,0.6297721863,,,
Gaia DR2 2674073065424135296,324.9690537486293,-2.908589582243919,21h39m52.57s,-02d54m30.92s,118,145.01466912318975,1.1242130802022283,128.9921569824,20.2848358154,9,51.36587770274943,10.468700792745004,4.9066143036,21.0747013092,11,91.6727935017878,10.437943262747826,8.7826490402,19.8563194275,0.9863737822,0,1.2183818817,0.7898654938,0.4285163879,,,
Gaia DR2 2674118897020589568,324.88452006381135,-2.888672001691843,21h39m32.28s,-02d53m19.22s,86,106.37816206799017,1.4132499972282866,75.2720031738,20.6212348938,6,45.54625887987345,8.628028034188677,5.2788724899,21.2052555084,8,135.88151151413155,19.775428194608075,6.8712296486,19.429019928,1.7054982185,0,1.7762355804,0.5840206146,1.1922149658,,,
Gaia DR2 2674071136983747072,324.95112959986596,-2.967335992258299,21h39m48.27s,-02d58m02.41s,103,122.52271622485745,1.3612213438125946,90.0093994141,20.4678249359,7,70.74435641983534,13.080630292994929,5.4083294868,20.7271595001,8,75.86804414758218,8.264072201240037,9.1804676056,20.0617733002,1.196614027,0,0.6653862,0.2593345642,0.4060516357,,,
Gaia DR2 2674072854970733824,324.9730964887937,-2.9166700949271283,21h39m53.54s,-02d55m00.01s,102,183.77380030538538,1.1801671769902098,155.7184448242,20.0276565552,7,91.15895624991728,8.631844577367099,10.5607738495,20.4518890381,9,107.00121313000521,13.728451510988137,7.7941212654,19.6884479523,1.0782830715,0,0.7634410858,0.4242324829,0.3392086029,,,
Gaia DR2 2674071102624470144,324.92940552400216,-2.978428572631252,21h39m43.06s,-02d58m42.34s,102,155.40913173208367,1.221420149506617,127.2364273071,20.2096748352,5,38.51079074709059,11.387472122022617,3.3818559647,21.3874320984,9,173.3304986086244,9.408209494305652,18.423324585,19.1647319794,1.3631199598,0,2.222700119,1.1777572632,1.0449428558,,,
Gaia DR2 2674070793386347520,324.9122413649459,-2.978624035849932,21h39m38.94s,-02d58m43.05s,106,1569.7851721668292,2.142528736812073,732.6787109375,17.698764801,10,838.041582054151,15.545584272421117,53.908657074,18.0432243347,11,1102.401289556194,31.3839895431247,35.1262321472,17.1560707092,1.2361199856,0,0.8871536255,0.3444595337,0.5426940918,,,
