designation,ra,dec,clon,clat,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper
Gaia DR2 2674138069754382592,324.7657856760342,-2.70626227559489,21h39m03.79s,-02d42m22.54s,67,86.83856416513979,1.3799591287907573,62.9283599854,20.841583252,5,32.23274391189004,6.441415472371043,5.0039844513,21.5806446075,6,24.08616668122222,9.398006233859476,2.5629017353,21.3075008392,0.6485472322,1,0.2731437683,0.7390613556,-0.4659175873,,,
Gaia DR2 2674039702118245376,324.8756553547097,-3.189238869049333,21h39m30.16s,-03d11m21.26s,69,99.20235008110495,1.549192736288918,64.034866333,20.6970615387,0,,,,,0,,,,,,2,,,,,,
Gaia DR2 2674075500670607360,325.1882424934674,-2.901894655182086,21h40m45.18s,-02d54m06.82s,121,461.43617248784636,1.6350678105861411,282.2122497559,19.0280857086,13,264.123070456728,12.955236229755622,20.3873596191,19.2968730927,14,288.33152848319816,12.941472026180536,22.2796554565,18.6121902466,1.197250247,0,0.6846828461,0.268787384,0.415895462,,,
Gaia DR2 2674075569390092928,325.18755581981645,-2.894280900591481,21h40m45.01s,-02d53m39.41s,130,1446.6866355987195,2.3454800617411014,616.797668457,17.7874298096,13,370.5508991146975,11.305564963154387,32.7759742737,18.9292678833,13,1578.406501108113,14.363483287705089,109.8902282715,16.7663726807,1.347186923,0,2.1628952026,1.1418380737,1.0210571289,,,
Gaia DR2 2674099999164093184,324.6564146826588,-2.877863373920521,21h38m37.54s,-02d52m40.31s,95,202.19082979041912,1.448909874146653,139.5468597412,19.9239616394,10,108.51429875881092,13.541998517368517,8.0131673813,20.262670517,10,142.50169038100285,8.419835176603318,16.9245223999,19.3773708344,1.2414805889,0,0.8852996826,0.3387088776,0.5465908051,,,
Gaia DR2 2674093505173356800,324.6686215506553,-3.0176821246817287,21h38m40.47s,-03d01m03.66s,106,1591.5534705177115,2.803678702021685,567.6661376953,17.6838130951,9,820.2058732097626,23.622245933256437,34.7217559814,18.0665817261,11,1072.5038793327392,14.913973213587587,71.912689209,17.1859226227,1.1892216206,0,0.8806591034,0.382768631,0.4978904724,,,
Gaia DR2 2674092336942011264,324.68757427376096,-3.058306490143668,21h38m45.02s,-03d03m29.90s,93,1684.1235928269127,2.943588315864941,572.1328735352,17.6224308014,10,641.2572163102536,19.030130377382996,33.6969413757,18.3338069916,10,1533.610506772719,27.21587602859351,56.3498497009,16.7976322174,1.2913943529,0,1.5361747742,0.7113761902,0.824798584,,,
Gaia DR2 2674055984339045632,325.16970266579,-3.026623172363585,21h40m40.73s,-03d01m35.84s,108,708.802419308459,2.092267034154362,338.7724304199,18.5620536804,10,102.88598856661983,12.156175174538552,8.463681221,20.3204975128,11,1006.9049784566009,11.820062678177491,85.1860961914,17.254447937,1.5657268763,0,3.0660495758,1.7584438324,1.3076057434,,,
Gaia DR2 2674092062064072320,324.70206421788424,-3.0813027855491737,21h38m48.50s,-03d04m52.69s,67,91.28843851992848,1.8102027122970084,50.4299545288,20.7873268127,3,57.25051109809937,59.50100234468976,0.9621772766,20.9569396973,6,106.57778869209001,15.61188248412474,6.8267097473,19.6927528381,1.7946226597,0,1.2641868591,0.1696128845,1.0945739746,,,
Gaia DR2 2674053544797324800,325.11645436659063,-3.109403918798106,21h40m27.95s,-03d06m33.85s,106,9896.668091768355,6.585899966523317,1502.7054443359,15.6996431351,10,4713.900351392414,16.257781720347158,289.9473266602,16.1679363251,12,7475.809303083597,25.37241249059375,294.6432189941,15.0777740479,1.2316983938,0,1.0901622772,0.46829319,0.6218690872,0.0549999997,0.0120000001,0.114699997
Gaia DR2 2674053029401192704,325.0521898976735,-3.159499382268656,21h40m12.53s,-03d09m34.20s,93,335.0679222700206,2.1772008982794833,153.8984832764,19.3755340576,9,181.3258109109632,24.20215595385103,7.4921345711,19.7052383423,9,255.39766670473244,14.111833691038157,18.0981197357,18.7438774109,1.3033878803,0,0.9613609314,0.3297042847,0.6316566467,,,
Gaia DR2 2674052999336987520,325.0748519063203,-3.145325699728827,21h40m17.96s,-03d08m43.17s,93,2045.7004462681703,2.941022987514317,695.5744628906,17.4112606049,9,1027.4448618419885,14.856485961811034,69.1579971313,17.8219909668,9,1496.8039944460418,13.061426914673621,114.5972824097,16.8240070343,1.2339289188,0,0.9979839325,0.4107303619,0.5872535706,,,
Gaia DR2 2674039457304500992,324.9097874979205,-3.1937227541440465,21h39m38.35s,-03d11m37.40s,121,1958.5268794838391,2.9538089372417837,663.0513305664,17.4585418701,14,1015.15699617514,21.626419941570724,46.9405937195,17.8350543976,13,1386.460318733447,12.89598005160945,107.5110473633,16.9071521759,1.2262365818,0,0.9279022217,0.3765125275,0.5513896942,,,
Gaia DR2 2674136390421978752,324.71200785510325,-2.7550355216824114,21h38m50.88s,-02d45m18.13s,123,220.55901172139139,1.3170763403230858,167.4610748291,19.8295536041,11,50.341300191547674,8.6950206218311,5.7896699905,21.0965766907,13,270.16227647742517,10.506700681335987,25.7133312225,18.6828575134,1.4531420469,0,2.4137191772,1.2670230865,1.1466960907,,,
Gaia DR2 2674132778354708736,324.9367521983854,-2.656208265349922,21h39m44.82s,-02d39m22.35s,121,1817.2872163914271,2.759718950540779,658.5044555664,17.539806366,13,560.5053797295808,14.612390627448551,38.3582267761,18.4799385071,13,1840.4515796973305,21.434780271582007,85.8628616333,16.599609375,1.3211764097,0,1.8803291321,0.9401321411,0.940196991,,,
Gaia DR2 2674099999164093312,324.65557704450964,-2.8764002977769096,21h38m37.34s,-02d52m35.04s,67,90.94945013992141,1.4772190391109865,61.5680198669,20.7913646698,7,62.214165508123834,11.411097844912735,5.4520754814,20.8666648865,6,69.71374915418944,12.36537928763587,5.6378173828,20.1536235809,1.4505630732,0,0.7130413055,0.0753002167,0.6377410889,,,
Gaia DR2 2674044409402281856,324.7366216915942,-3.121841614411744,21h38m56.79s,-03d07m18.63s,134,3352.756153087599,3.6270484334288926,924.3759155273,16.8748607635,12,1591.7468119175228,16.701200412014174,95.3073272705,17.3467025757,13,2520.908056065825,17.767737944043585,141.8812103271,16.2580280304,1.2266489267,0,1.0886745453,0.4718418121,0.6168327332,0.3429999948,0.2169000059,0.4517999887
Gaia DR2 2674074366799218176,325.19069757358767,-2.9191933263902956,21h40m45.77s,-02d55m09.10s,142,730.423001068983,1.574213111496897,463.9924621582,18.5294303894,13,270.35278724229477,15.699458076846973,17.2205181122,19.2715606689,15,686.0442589004642,9.072582720472434,75.6173019409,17.6710395813,1.3093742132,0,1.6005210876,0.7421302795,0.8583908081,,,
Gaia DR2 2674040419377184640,324.849545852577,-3.185012667599236,21h39m23.89s,-03d11m06.05s,146,5167.209781576525,4.136391796239949,1249.20703125,16.4052257538,13,2772.312152322977,13.424812677994662,206.5065765381,16.7442836761,17,3505.9791686077024,26.39555851472029,132.8245849609,15.8998966217,1.215025425,0,0.8443870544,0.3390579224,0.5053291321,0.0952999964,0.0458999984,0.2012999952
Gaia DR2 2674040453736918784,324.8664321105496,-3.1890797644166486,21h39m27.94s,-03d11m20.69s,144,2656.139357044401,3.8393033874369924,691.8284912109,17.1277389526,12,878.0750628244218,7.506812523451599,116.9704284668,17.992559433,14,2572.061195521326,10.76919415466333,238.835067749,16.2362174988,1.2989289761,0,1.7563419342,0.8648204803,0.8915214539,,,
Gaia DR2 2674138413352087680,324.82299422352014,-2.6735731337117548,21h39m17.52s,-02d40m24.86s,110,109.61540668390042,0.9528782350127502,115.0361099243,20.5886859894,8,41.21602581493224,7.880066623760786,5.2304158211,21.3137226105,12,117.1972172770511,9.574239045692323,12.2408914566,19.5896263123,1.4451731443,0,1.7240962982,0.7250366211,0.9990596771,,,
Gaia DR2 2674053544797320448,325.11566295986097,-3.111925582826419,21h40m27.76s,-03d06m42.93s,68,91.38559645627802,2.057666970236967,44.4122390747,20.7861709595,4,44.81890846024328,28.635679517590543,1.5651421547,21.2227344513,7,101.8027522435822,16.525859513465246,6.1602091789,19.742521286,1.6044285297,0,1.4802131653,0.4365634918,1.0436496735,,,
Gaia DR2 2674044409401924096,324.7359603221608,-3.1217886334582996,21h38m56.63s,-03d07m18.44s,121,145.7271480782918,1.61306160308799,90.3419570923,20.2795143127,6,136.8856544501408,53.14535604137913,2.575684309,20.0104942322,6,138.17335911437712,16.76799803904971,8.2403011322,19.4108600616,1.8874932528,0,0.5996341705,-0.2690200806,0.8686542511,,,
Gaia DR2 2674056091713363840,325.1733156151391,-3.021384352682938,21h40m41.60s,-03d01m16.98s,119,100045.25438003785,29.831298678743348,3353.7009277344,13.187874794,14,50822.13801062845,142.6929621012062,356.1643066406,13.5862560272,14,72483.33567349779,76.35478235261347,949.2966308594,12.6113243103,1.2324969769,0,0.9749317169,0.3983812332,0.5765504837,,,
Gaia DR2 2674040664190797056,324.81309048433684,-3.172670318124629,21h39m15.14s,-03d10m21.61s,139,25422.888076205625,10.667988519193793,2383.1003417969,14.6753034592,13,12926.410390421086,37.74841437946155,342.4358520508,15.0726928711,10,17953.205200365235,68.42872985198217,262.3635559082,14.1265649796,1.2146383524,0,0.9461278915,0.3973894119,0.5487384796,,,
Gaia DR2 2674053750959469568,325.1356224773535,-3.0890917770748536,21h40m32.55s,-03d05m20.73s,76,93.30271731786073,1.3385035933174938,69.7067337036,20.7636299133,6,64.86292436023632,11.649865429585846,5.567697525,20.8213977814,8,127.01302874660402,13.712206582083677,9.2627706528,19.5022983551,2.0564882755,0,1.3190994263,0.057767868,1.2613315582,,,
Gaia DR2 2674075500670611840,325.1899335327823,-2.8973295531055987,21h40m45.58s,-02d53m50.39s,143,315.829581281232,1.3065715216150615,241.7239074707,19.4397335052,13,63.57480427911641,9.321441817897332,6.8202757835,20.8431758881,14,372.3482345141886,14.199352835406293,26.222902298,18.3345470428,1.3802477121,0,2.5086288452,1.4034423828,1.1051864624,,,
Gaia DR2 2674053132480432896,325.0890745674695,-3.136645691600454,21h40m21.38s,-03d08m11.92s,94,167.43931693979525,1.297704883449928,129.0272674561,20.1287212372,10,89.79203544787781,12.681262837762036,7.0806856155,20.4682941437,9,107.86078712866957,18.56558394772742,5.8097167015,19.6797618866,1.180444479,0,0.7885322571,0.3395729065,0.4489593506,,,
Gaia DR2 2674132778356372480,324.9364990946834,-2.655211040059604,21h39m44.76s,-02d39m18.76s,120,198.56596698640251,1.2529418921065427,158.4797821045,19.9436035156,5,53.943781136802784,20.623220313931533,2.6156816483,21.0215339661,8,224.67072878227185,7.652975335940165,29.3573055267,18.8830528259,1.4031332731,0,2.1384811401,1.0779304504,1.0605506897,,,
Gaia DR2 2674136283048272256,324.700866441369,-2.767410978655688,21h38m48.21s,-02d46m02.68s,86,90.36639343276526,1.0038730522292258,90.0177536011,20.7983474731,3,35.18252996405453,11.174719463833313,3.148403883,21.4855709076,7,87.89772515516538,15.746224088720052,5.5821461678,19.9019756317,1.3620135784,1,1.5835952759,0.6872234344,0.8963718414,,,
Gaia DR2 2674137897955674752,324.73629742068715,-2.7270257414024166,21h38m56.71s,-02d43m37.29s,131,248.7016607052762,1.3870904850114056,179.2973632812,19.6991691589,14,85.70910716646931,7.608652392698314,11.2646894455,20.518819809,15,224.32471662129916,12.827810636059315,17.4873733521,18.884727478,1.2466093302,0,1.6340923309,0.81965065,0.8144416809,,,
Gaia DR2 2674098349896557184,324.65107884743355,-2.9497399877131834,21h38m36.26s,-02d56m59.06s,124,350.91425109697377,1.8545418265188498,189.2188415527,19.3253631592,7,156.7804291749778,10.402264471420988,15.0717592239,19.8631591797,9,210.5518083453774,16.01385920653002,13.1480989456,18.9535217285,1.0467863083,0,0.9096374512,0.5377960205,0.3718414307,,,
Gaia DR2 2674029561702531584,325.04863790752944,-3.163579517030524,21h40m11.67s,-03d09m48.89s,78,87.27792708638378,1.0865271259871214,80.3274230957,20.8361053467,5,89.14442573875628,23.318399664908068,3.8229222298,20.47615242,7,97.05901435978267,12.085764147666838,8.0308542252,19.7943305969,2.1334540844,0,0.6818218231,-0.3599529266,1.0417747498,,,
Gaia DR2 2674096563190109952,324.65771855428295,-2.989628003259023,21h38m37.85s,-02d59m22.66s,104,1928.2336420678926,3.2591961499448283,591.6286010742,17.4754657745,8,1025.6841781302435,23.31650840153045,43.9896125793,17.8238544464,10,1348.7384364475165,21.64300780464103,62.3175125122,16.9371013641,1.231397748,0,0.8867530823,0.3483886719,0.5383644104,,,
Gaia DR2 2674055365863526528,325.1562469953053,-3.0589879305293777,21h40m37.50s,-03d03m32.36s,130,300.9719132551421,1.54778926089846,194.4527740479,19.4920501709,12,93.74682750314203,8.150365575857819,11.5021619797,20.421497345,13,298.62115108481095,10.438865742525527,28.6066665649,18.5741176605,1.3036696911,0,1.8473796844,0.9294471741,0.9179325104,,,
Gaia DR2 2674098422911002624,324.6503419778575,-2.942553143302234,21h38m36.08s,-02d56m33.19s,114,4967.252881382938,4.053928060594544,1225.2938232422,16.4480743408,10,2644.1320052663978,12.767409549452218,207.100112915,16.7956809998,10,3440.378030207595,11.557076688451055,297.6858215332,15.9204044342,1.2249245644,0,0.8752765656,0.3476066589,0.5276699066,0.0156999994,0.0049000001,0.1059999987
Gaia DR2 2674093573892855552,324.66081607032737,-3.0015945014472436,21h38m38.60s,-03d00m05.74s,98,216.97878422427885,1.7823727628412491,121.7359161377,19.847322464,8,95.63429359341383,13.034865554001176,7.336807251,20.39985466,11,175.61359158224067,13.885696149352025,12.6470861435,19.1505241394,1.2501125336,0,1.2493305206,0.552532196,0.6967983246,,,
Gaia DR2 2674133229326024448,325.02824220185687,-2.6763392151503638,21h40m06.78s,-02d40m34.82s,111,6453.360689276966,5.209010031753619,1238.8842773438,16.1639003754,12,3296.458535554274,23.721738609384172,138.9636077881,16.556268692,12,4513.334471508586,21.72894106738869,207.7107391357,15.6256761551,1.2101900578,0,0.9305925369,0.3923683167,0.5382242203,0.201000005,0.1270000041,0.2446999997
Gaia DR2 2674135527133647232,324.6764985362446,-2.8075341045410833,21h38m42.36s,-02d48m27.12s,108,4238.308886736383,3.9419029421794,1075.1936035156,16.6203842163,12,2298.8676337073175,18.052306428779463,127.3448181152,16.9476032257,12,2774.7144841279082,23.334647657990082,118.9096374512,16.1538734436,1.1970770359,0,0.7937297821,0.3272190094,0.4665107727,0.0164999999,0.0082999999,0.0329999998
Gaia DR2 2674092066359400192,324.70276408773003,-3.086046572330851,21h38m48.66s,-03d05m09.77s,101,128.41929290604685,1.4814207408309268,86.6865768433,20.4167900085,5,30.426982244788796,10.958478629747509,2.7765698433,21.6432418823,9,166.13993752537633,14.12070185651512,11.7656993866,19.210735321,1.53066504,0,2.4325065613,1.2264518738,1.2060546875,,,
Gaia DR2 2674075986001883904,325.18465549695355,-2.8618000800765517,21h40m44.32s,-02d51m42.48s,132,3106.02551046943,2.915932011623381,1065.1912841797,16.9578533173,14,1635.4779166032224,14.021238620556035,116.6428985596,17.317276001,15,2073.0329768592483,8.877120438756055,233.525390625,16.4704036713,1.1939730644,0,0.8468723297,0.3594226837,0.487449646,0.0643000007,0.0076000001,0.1439999938
Gaia DR2 2674073954482306432,325.1903088016624,-2.9574691035615635,21h40m45.67s,-02d57m26.89s,120,187.01230823065765,1.8114976568059018,103.2362976074,20.0086898804,7,36.01592474613276,9.497359708896141,3.7922039032,21.4601516724,12,216.2293064864151,10.290757048109365,21.0119915009,18.9246330261,1.3488161564,0,2.5355186462,1.451461792,1.0840568542,,,
Gaia DR2 2674080792070437504,325.16113796111745,-2.79889939173026,21h40m38.67s,-02d47m56.04s,121,1016.3413412388337,1.9702806044624335,515.8358154297,18.1707668304,14,344.35844361313207,19.738970322361574,17.4456138611,19.0088615417,13,1008.5570403826259,11.52599215975352,87.5028381348,17.2526683807,1.3311624527,0,1.756193161,0.8380947113,0.9180984497,,,
Gaia DR2 2674073920122556160,325.1892499643564,-2.967111074164866,21h40m45.42s,-02d58m01.60s,130,2080.4166332824616,2.4875549114213755,836.3299560547,17.3929901123,12,449.30672598096413,10.253564445034584,43.8195648193,18.7200317383,13,2517.1665577980984,17.081160650765003,147.3650817871,16.25963974,1.4259034395,0,2.4603919983,1.327041626,1.1333503723,,,
Gaia DR2 2674074366799646464,325.19256894551273,-2.924919181979559,21h40m46.22s,-02d55m29.71s,143,121.69040034785591,1.2236006918048477,99.4527053833,20.4752254486,10,56.418799783649504,6.437108160572579,8.7646188736,20.9728279114,12,115.02187160015343,14.626224347904635,7.8640851974,19.6099681854,1.4088265896,0,1.362859726,0.4976024628,0.8652572632,,,
Gaia DR2 2674092062064072448,324.69887635389506,-3.0818676480425524,21h38m47.73s,-03d04m54.72s,115,3566.717666552053,3.400461888440777,1048.8920898438,16.8076934814,12,1499.5945952685756,22.867143230475772,65.5785751343,17.4114532471,12,2904.836474408364,18.988934629494487,152.9752197266,16.1041164398,1.2348695993,0,1.3073368073,0.6037597656,0.7035770416,0.1420000046,0.0736000016,0.2969999909
Gaia DR2 2674091993344576896,324.70719879815385,-3.093061364340796,21h38m49.73s,-03d05m35.02s,92,93.55980689383642,1.460786055845717,64.0475769043,20.7606430054,6,58.76247146179321,9.841761846807113,5.9707269669,20.9286384583,7,77.28166399282837,13.575563027724895,5.6927042007,20.0417289734,1.4540873766,0,0.8869094849,0.1679954529,0.718914032,,,
Gaia DR2 2674079044018601216,325.1728378535517,-2.8228506799087274,21h40m41.48s,-02d49m22.26s,133,59228.01692776849,15.913495128345502,3721.8735351562,13.7570476532,13,32103.274985543438,35.86670196807359,895.0718383789,14.0850152969,13,39233.410508235254,67.51384687171668,581.1165161133,13.2777795792,1.2044415474,0,0.8072357178,0.3279676437,0.479268074,0.2409999967,0.1398999989,0.300999999
Gaia DR2 2674039697822671104,324.87495533872584,-3.192760157318568,21h39m29.99s,-03d11m33.94s,131,4235.228408286911,3.8016058170095293,1114.0629882812,16.6211738586,11,2258.4228115323613,20.35685798249615,110.941619873,16.9668750763,13,2878.7751172611916,19.184841960840004,150.0546722412,16.1139011383,1.2129683495,0,0.852973938,0.3457012177,0.5072727203,0.1099999994,0.0549000017,0.1662999988
Gaia DR2 2674133225031684480,325.0219256711768,-2.672795635684906,21h40m05.26s,-02d40m22.06s,85,97.1581151226267,1.3371727942414382,72.6593551636,20.7196674347,0,,,,,0,,,,,,2,,,,,,
Gaia DR2 2674040591176119168,324.8258017099679,-3.1796357580799266,21h39m18.19s,-03d10m46.69s,134,165.23282972855566,1.5471679308224322,106.7969589233,20.1431255341,7,46.181114422086466,7.599769362299402,6.0766468048,21.1902275085,13,254.3337774033073,17.118152997344747,14.85754776,18.7484092712,1.8187359571,0,2.4418182373,1.0471019745,1.3947162628,,,
Gaia DR2 2674132950153402624,324.90660075570236,-2.6536191222232692,21h39m37.58s,-02d39m13.03s,112,513.5801902127921,9.985172217323493,51.4342842102,18.9118442535,6,351.82167258128203,3.482622475672744,101.0220565796,18.9855823517,7,382.56547973800957,12.693283056703942,30.1392059326,18.3051548004,1.4299366474,0,0.6804275513,0.0737380981,0.6066894531,,,
Gaia DR2 2674098521695277952,324.6485274109642,-2.928058471688087,21h38m35.65s,-02d55m41.01s,110,845.1992666593309,2.099629154615134,402.5469360352,18.370967865,11,285.59298931570834,18.15875677638887,15.7275629044,19.2120189667,12,889.2908239533853,9.433927698672944,94.2651748657,17.3893108368,1.3900672197,0,1.8227081299,0.8410511017,0.9816570282,,,
Gaia DR2 2674132881433925760,324.9383077084896,-2.653386678888439,21h39m45.19s,-02d39m12.19s,88,100.09921233281578,1.6545030049752971,60.5010757446,20.6872882843,5,57.073105492135575,8.291579554288072,6.8832607269,20.9603099823,8,163.19581197563116,18.490464467990734,8.8259449005,19.2301483154,2.2005059719,0,1.7301616669,0.273021698,1.4571399689,,,
Gaia DR2 2674040595471319680,324.82978988082715,-3.1815683039274116,21h39m19.15s,-03d10m53.65s,143,14544.644773898648,65.03473808417893,223.644241333,15.2816076279,14,5787.667885532435,77.09424764751674,75.0726318359,15.9451293945,15,12516.985344117627,205.54925077401307,60.8953094482,14.5181703568,1.2585150003,0,1.4269590378,0.6635217667,0.7634372711,0.5249999762,0.4632999897,0.6209999919
Gaia DR2 2674138452006278528,324.7749026982957,-2.695109982928436,21h39m05.98s,-02d41m42.40s,128,3119.1748471871574,3.1392220173166376,993.6139526367,16.9532661438,14,1675.3641877396026,12.434593791849588,134.7341308594,17.2911148071,15,2098.32105468193,22.134544120157265,94.7984771729,16.4572410583,1.2098344564,0,0.8338737488,0.3378486633,0.4960250854,0.0700000003,0.0333000012,0.1502999961
Gaia DR2 2674100003459106944,324.6534961964137,-2.8718260325017497,21h38m36.84s,-02d52m18.57s,88,720.4823268946731,2.418231968023762,297.9376525879,18.5443077087,10,244.2490113028578,18.385917310683926,13.284570694,19.3818054199,10,705.9983413323014,17.373657993550818,40.6361351013,17.6399116516,1.3189043999,0,1.7418937683,0.8374977112,0.9043960571,,,
Gaia DR2 2674044336389400576,324.7439011627359,-3.1321156311457066,21h38m58.54s,-03d07m55.62s,60,80.07861508218149,1.6510408464901742,48.5018997192,20.9295749664,3,54.54217518239543,6.012741142706806,9.071100235,21.009557724,4,111.43520396891041,13.624658428148432,8.1789360046,19.6443634033,2.0726804733,0,1.3651943207,0.0799827576,1.2852115631,,,
Gaia DR2 2674075504965544832,325.1923956715587,-2.9003062740744214,21h40m46.17s,-02d54m01.10s,139,22228.72508707832,7.075607994789862,3141.5993652344,14.8210792542,13,11919.707603039622,25.658237962969352,464.5567626953,15.1607246399,13,14989.78601346559,18.042263284685866,830.8151855469,14.3224315643,1.210572958,0,0.8382930756,0.3396453857,0.4986476898,0.1509999931,0.0428999998,0.2431000024
Gaia DR2 2674133018872879744,324.89893182728974,-2.6534947451617605,21h39m35.74s,-02d39m12.58s,119,436.15296055304924,1.28574045338131,339.2231750488,19.0892677307,13,249.63752940032813,9.265515151726383,26.9426498413,19.3581142426,12,253.12640229065568,20.02225226012966,12.6422538757,18.7535762787,1.1527239084,0,0.6045379639,0.2688465118,0.335691452,,,
Gaia DR2 2674130029575615488,325.06169487908244,-2.6916604448959323,21h40m14.81s,-02d41m29.98s,102,139.8108071060222,1.1249716852694889,124.2794036865,20.324514389,7,151.5645070120297,53.74784262898848,2.8199179173,19.8998947144,9,108.63740298892581,13.653237552774373,7.9568967819,19.6719722748,1.8611000776,1,0.2279224396,-0.4246196747,0.6525421143,,,
Gaia DR2 2674132022442228480,324.98917659712623,-2.661143452957723,21h39m57.40s,-02d39m40.12s,49,73.37575950664699,1.2284261433865735,59.7315177917,21.0244846344,0,,,,,0,,,,,,2,,,,,,
Gaia DR2 2674093195935697920,324.6671639953924,-3.0258517901682778,21h38m40.12s,-03d01m33.07s,92,529.336678834204,2.3435809512385486,225.866607666,18.8790359497,7,233.97113080433869,20.746556427064828,11.2775888443,19.4284820557,8,375.1770658638179,23.605064052296616,15.8939228058,18.3263301849,1.1507765055,0,1.1021518707,0.549446106,0.5527057648,,,
Gaia DR2 2674040900413302016,324.9409853970178,-3.1969358207787866,21h39m45.84s,-03d11m48.97s,105,172768.28144340173,43.02825352885269,4015.2287597656,12.5947055817,11,93381.08331979734,217.21287497362005,429.9058532715,12.9257411957,10,115321.34355537324,126.84915711289759,909.121887207,12.1071453094,1.2079904079,0,0.8185958862,0.331035614,0.4875602722,0.2070000023,0.0628999993,0.300999999
Gaia DR2 2674039629105564544,324.8904945259155,-3.196095941563709,21h39m33.72s,-03d11m45.95s,113,469.98435561802665,2.324181406286073,202.2150115967,19.0081577301,0,,,,,0,,,,,,2,,,,,,
Gaia DR2 2674040350657702016,324.85809233991074,-3.190510488984529,21h39m25.94s,-03d11m25.84s,138,713.0443680437747,2.478324611075098,287.7122497559,18.5555744171,14,208.6534465013552,11.592770985165453,17.99858284,19.5528240204,16,774.8727926718918,13.783044499903482,56.2192764282,17.5388431549,1.3793338537,0,2.0139808655,0.9972496033,1.0167312622,,,
Gaia DR2 2674137936610248448,324.74541138914697,-2.715834424299338,21h38m58.90s,-02d42m57.00s,112,2013.9605378207148,3.4371392303788655,585.9409179688,17.428237915,3,758.6644860630615,1.890408403739625,401.323059082,18.1512641907,5,1856.0931371993859,28.893891546988797,64.2382507324,16.5904197693,1.2983162403,0,1.5608444214,0.7230262756,0.8378181458,,,
Gaia DR2 2674044684280189952,324.71556289165056,-3.1051285788668768,21h38m51.74s,-03d06m18.46s,122,11171.697547775295,5.937269463165558,1881.6220703125,15.5680675507,13,4487.204594423641,31.06374849644707,144.4514923096,16.2214488983,11,9639.672673756697,17.250465591695658,558.8065185547,14.8017644882,1.2645237446,0,1.4196844101,0.6533813477,0.7663030624,0.5690000057,0.467900008,0.621999979
Gaia DR2 2674137936609781888,324.7445274498659,-2.716525587948575,21h38m58.69s,-02d42m59.49s,105,155.10212734089706,1.370431517592634,113.1775817871,20.2118206024,7,73.47000541968,4.153067304819513,17.6905403137,20.6861133575,7,104.6833558628734,6.996049381166098,14.9632101059,19.7122249603,1.148619771,0,0.9738883972,0.4742927551,0.4995956421,,,
Gaia DR2 2674138589444705792,324.8058206350806,-2.677376293434976,21h39m13.40s,-02d40m38.55s,112,115.98518243032007,1.2010604145301795,96.5689849854,20.5273590088,8,39.759999839536725,10.898849598940274,3.6480913162,21.352771759,10,85.38454223186139,10.674219500559268,7.9991369247,19.9334716797,1.0789700747,0,1.4193000793,0.8254127502,0.5938873291,,,
Gaia DR2 2674138039689463680,324.74588504387197,-2.715045004184347,21h38m59.01s,-02d42m54.16s,123,11508.028143222295,6.81354131402677,1688.9936523438,15.5358638763,14,5655.047613655844,25.05177933304465,225.734375,15.9702978134,13,8280.396667942505,28.425317052398466,291.3035888672,14.9667921066,1.210932374,0,1.0035057068,0.4344339371,0.5690717697,0.2319999933,0.1410000026,0.3152999878
Gaia DR2 2674093195935687168,324.6701246240214,-3.03422346276878,21h38m40.83s,-03d02m03.20s,95,468.98306969140964,2.2271909355894617,210.5715637207,19.0104732513,9,85.3110497870534,25.13808319603767,3.3936975002,20.5238742828,8,636.5137586826173,23.411485073184448,27.1880989075,17.7524013519,1.5391275883,0,2.7714729309,1.5134010315,1.2580718994,,,
Gaia DR2 2674075603749840640,325.1916546014395,-2.886810536816357,21h40m46.00s,-02d53m12.52s,150,4175.751053452815,4.265053108738427,979.0618896484,16.6365299225,14,1854.059954955917,7.853354559249279,236.0850982666,17.1810779572,15,3261.277036254203,15.91509698877327,204.9171905518,15.9784507751,1.2250100374,0,1.202627182,0.5445480347,0.6580791473,0.1062999964,0.0096000005,0.2032999992
Gaia DR2 2674039633398768512,324.8905087244012,-3.1966108719193325,21h39m33.72s,-03d11m47.80s,107,4853.980658012759,4.328187655662135,1121.4810791016,16.4731197357,11,2131.0725266545796,37.923692677240176,56.1936988831,17.0298919678,12,4149.044559099007,38.930365289260344,106.5760498047,15.7170495987,1.2938076258,0,1.3128423691,0.5567722321,0.756070137,0.0700000003,0.0504000001,0.1631000042
Gaia DR2 2674055404518595712,325.1634794599376,-3.051416127925164,21h40m39.24s,-03d03m05.10s,118,1080.899029472231,2.635241383215754,410.1707763672,18.1039028168,10,467.5523386719137,13.715855259603616,34.0884552002,18.6768131256,10,863.531225505058,11.618546005417324,74.3235168457,17.4212245941,1.2314596176,0,1.2555885315,0.5729103088,0.6826782227,,,
