solution_id,designation,ra,dec,clon,clat,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,bp_g,g_rp
1635721458409799680,Gaia DR2 305017960203016960,29.82008882102344,33.302895533923,01h59m16.82s,33d18m10.42s,560.8794748052678,2.676801368596389,18.816192627,295.8028855617982,10.713910833800181,19.1738815308,390.5050358210221,16.946791163766594,18.2828540802,1.2236281633,0.8910274506,0.3576889038,0.5333385468
1635721458409799680,Gaia DR2 305019987427613312,29.862114602052873,33.35229820602375,01h59m26.91s,33d21m08.27s,2065.5895319448064,3.1658711928079977,17.4007549286,755.2950619127838,7.3179039314383365,18.1560974121,1906.6862529132377,16.10364077664167,16.5612220764,1.2887271643,1.5948753357,0.7553424835,0.8395328522
1635721458409799680,Gaia DR2 305031570955159424,29.754576384968242,33.41400707772976,01h59m01.10s,33d24m50.43s,3438.0867290747383,4.601966708697929,16.847574234,1437.154541165543,18.565621882727257,17.4576301575,2925.670592035423,23.814667252348983,16.0963573456,1.2689689398,1.3612728119,0.6100559235,0.7512168884
1635721458409799680,Gaia DR2 305031536595422976,29.73805025835717,33.40493368305681,01h58m57.13s,33d24m17.76s,3590.9643866374377,4.200370627862781,16.8003387451,1457.080302701514,12.108741109439432,17.4426803589,3088.819757223502,17.69501162537748,16.0374393463,1.2659273148,1.4052410126,0.6423416138,0.7628993988
1635721458409799680,Gaia DR2 305031119982863744,29.714894562261502,33.37509257207293,01h58m51.57s,33d22m30.33s,378.7688045909221,2.2483096512931944,19.2424297333,209.57207001312915,15.107471728121796,19.5480537415,261.1277156210822,5.443686317465738,18.7197875977,1.2427099943,0.8282661438,0.3056240082,0.5226421356
1635721458409799680,Gaia DR2 305020296665281024,29.85924074343301,33.378832935045985,01h59m26.22s,33d22m43.80s,7062.241093436542,6.8720123937648365,16.0660095215,3177.8570701803937,13.075700124647474,16.5960521698,5678.584982339558,16.54887009388777,15.3763198853,1.2540555,1.2197322845,0.5300426483,0.6896896362
1635721458409799680,Gaia DR2 305031635378973952,29.778515251565413,33.420947952436414,01h59m06.84s,33d25m15.41s,1169.1252166808827,2.692424120606834,18.0187129974,208.7110643320692,11.521546158216726,19.5525245667,1636.997399726933,16.093978551169844,16.7268009186,1.5787090063,2.8257236481,1.5338115692,1.2919120789
1635721458409799680,Gaia DR2 305018101937728768,29.764251774670647,33.2965278133665,01h59m03.42s,33d17m47.50s,10722.069534939612,6.599407141648137,15.6126689911,5234.973638980678,28.15484601518399,16.054101944,7942.415373958546,20.392099997588073,15.0120382309,1.2289967537,1.0420637131,0.4414329529,0.6006307602
1635721458409799680,Gaia DR2 305018033218252160,29.783752536739602,33.29331746694386,01h59m08.10s,33d17m35.94s,35172.596304132676,12.98270247552109,14.3228549957,18099.153405204495,60.57047636204654,14.7072429657,24602.957964111763,26.035793075283312,13.7844514847,1.2140733004,0.922791481,0.38438797,0.538403511
1635721458409799680,Gaia DR2 305031635382932352,29.77939382667138,33.42225345389648,01h59m07.05s,33d25m20.11s,213.4746250239962,1.7496258388082508,19.8649997711,62.44683208837721,8.43588802443853,20.8626117706,261.29808963063493,12.48900312135531,18.7190799713,1.5165499449,2.1435317993,0.9976119995,1.1459197998
1635721458409799680,Gaia DR2 305020296665284096,29.85967082141364,33.38339996796812,01h59m26.32s,33d23m00.24s,83.45250365707278,2.2177465725108325,20.8847675323,72.6266476096322,22.704800685407527,20.6986484528,66.20986824400288,17.655824439703462,20.2096138,1.6636590958,0.4890346527,-0.1861190796,0.6751537323
1635721458409799680,Gaia DR2 305021052581426560,29.84701752717967,33.40064336956558,01h59m23.28s,33d24m02.32s,106.40309027549188,1.7741585729535922,20.6209793091,32.99082046052214,5.064165621182558,21.5554046631,161.44704851594432,12.425310278647276,19.2418441772,1.8273705244,2.3135604858,0.934425354,1.3791351318
1635721458409799680,Gaia DR2 305018028922488704,29.786429787281136,33.29184702752348,01h59m08.74s,33d17m30.65s,501.3961343340795,2.1694015902093797,18.9379138947,267.1842350832269,14.089788096982454,19.2843608856,366.5029075293768,10.600657192297103,18.351726532,1.2638453245,0.9326343536,0.346446991,0.5861873627
1635721458409799680,Gaia DR2 305018132002207616,29.798836342712452,33.29237131454548,01h59m11.72s,33d17m32.54s,103.73249385341002,1.5212061949896403,20.6485786438,141.8466555083521,21.543995272732815,19.9718399048,114.73687861928468,8.478308217641665,19.612663269,2.4735116959,0.3591766357,-0.676738739,1.0359153748
1635721458409799680,Gaia DR2 305018303800408960,29.84924676404173,33.31609931621317,01h59m23.82s,33d18m57.96s,547.4640585860152,2.5237015575761963,18.8424758911,146.1920516590816,7.167350781424803,19.9390792847,637.2960712796922,13.801805611505273,17.7510662079,1.4311225414,2.1880130768,1.0966033936,1.0914096832
1635721458409799680,Gaia DR2 305031364796732544,29.720970412278234,33.39403097073083,01h58m53.03s,33d23m38.51s,3050.363035843562,4.39810707653956,16.9774875641,1695.689716171603,16.27881004443477,17.2780227661,2028.6053912237335,18.918788941291826,16.493927002,1.2209349871,0.7840957642,0.300535202,0.4835605621
1635721458409799680,Gaia DR2 305018819196475136,29.74754218674309,33.30021001545383,01h58m59.41s,33d18m00.76s,3573.252083630234,4.4774675036158555,16.8057060242,2017.6982654725095,28.107250968011947,17.0892467499,2357.026387052473,10.673381510584802,16.3310089111,1.2242977619,0.7582378387,0.2835407257,0.474697113
1635721458409799680,Gaia DR2 305021327457458688,29.829109303916667,33.41461647672114,01h59m18.99s,33d24m52.62s,990.5968354396782,2.7715526294737747,18.1986236572,384.6000992163152,5.260694718776999,18.8888645172,906.8649247552812,14.689924676443942,17.368062973,1.3037241697,1.5208015442,0.69024086,0.8305606842
1635721458409799680,Gaia DR2 305018819196475520,29.743730783739835,33.30110669070446,01h58m58.50s,33d18m03.98s,939.1012341816289,2.4781287906027885,18.2565841675,325.50992444698375,27.869908768467308,19.0699768066,1016.7009751229737,9.885963612251556,17.2439365387,1.4292504787,1.8260402679,0.8133926392,1.0126476288
