Label	slice	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RA_OBJ	DEC_OBJ	FWHM_Mean	Source_Radius	Sky_Rad(min)	Sky_Rad(max)	X(IJ)_T1	Y(IJ)_T1	X(FITS)_T1	Y(FITS)_T1	RA_T1	DEC_T1	Source-Sky_T1	N_Src_Pixels_T1	Source_Error_T1	Source_SNR_T1	Peak_T1	Mean_T1	Sky/Pixel_T1	N_Sky_Pixels_T1	FWHM_T1	Width_T1	X-Width_T1	Y-Width_T1	Angle_T1	Roundness_T1
aligned_Sabine_V_30s_20200824_131834_out.fits	1	0	59086.05433247704	2459086.054332477	2459086.054158866	2459086.059467066	2459086.0602346645	-1	-82.57067106104716	-9.787817268	30	0.0176649981757174	0.1151319516613534	4.439641616104546	10	16	20	561.8405639913232	519.8901648998822	562.3405639913232	504.60983510011783	21.542932849269015	-2.9785924369036634	43034.30086311855	314.15926535897916	230.87436716200185	186.3970495820434	2232	136.9824340973828	19.68395061728395	405	4.439641616104546	6.221149534948409	6.045005918432022	6.397293151464796	56.81904767426032	0.980086012064985
aligned_Sabine_V_30s_20200824_131912_out.fits	2	0	59086.054761388805	2459086.054761389	2459086.0545877777	2459086.0598959974	2459086.060663596	-1	-82.72548292921232	-9.787817268	30	0.0176650001345456	0.1151319643990428	4.884682057415314	10	16	20	561.9561113462925	519.6765995832852	562.4561113462925	504.8234004167148	21.542921550449233	-2.9784714989075067	42763.9586832784	314.1592653589794	231.8522490134179	184.44487325548235	1982	136.12190821242672	20.020408163265305	392	4.884682057415314	6.271224251720454	5.954221141076265	6.588227362364645	59.606408164032835	0.9573097761094213
aligned_Sabine_V_30s_20200824_131949_out.fits	3	0	59086.055191423744	2459086.0551914237	2459086.0550178126	2459086.060326052	2459086.0610936503	-1	-82.88069936824422	-9.787817268	30	0.0176650020986356	0.1151319771709476	4.360958243473242	10	16	20	562.4106621804626	519.924728622236	562.9106621804626	504.575271377764	21.542919558739868	-2.9785729004965003	41271.006551169026	314.1592653589792	230.77866850822744	178.8337146494009	2014	131.36969397993096	19.96124031007752	387	4.360958243473242	6.0787576327986805	5.804542247972621	6.352973017624739	59.51920652946852	0.9655922679929535
aligned_Sabine_V_30s_20200824_132027_out.fits	4	0	59086.05562281236	2459086.0556228124	2459086.0554492013	2459086.06075746	2459086.061525059	-1	-83.03640351249447	-9.787817268	30	0.0176650040690413	0.1151319899839209	3.9440465184646643	10	16	20	563.5363007216373	520.2383261417525	564.0363007216373	504.2616738582475	21.54291621020521	-2.9785701199751675	41501.06305842145	314.15926535897927	228.83429020266317	181.35858494662992	2425	132.10198658632456	19.441463414634146	410	3.9440465184646643	5.937080722841555	5.861184473520835	6.012976972162275	53.11315650766239	0.9916312571472825
aligned_Sabine_V_30s_20200824_132104_out.fits	5	0	59086.056060590316	2459086.0560605903	2459086.055886979	2459086.061195258	2459086.0619628564	-1	-83.19441283188144	-9.787817268	30	0.0176650060687672	0.1151320029875539	4.537527929834769	10	16	20	563.9503831585264	519.7582936961888	564.4503831585264	504.74170630381116	21.542908020907515	-2.9785868076465842	41897.16435733475	314.15926535897927	229.93463015263694	182.21337225072298	1948	133.36281618006797	18.997487437185928	398	4.537527929834769	6.349676449243113	6.419108563017035	6.28024433546919	37.68066424284718	0.9925133751455333
aligned_Sabine_V_30s_20200824_132141_out.fits	6	0	59086.05688784737	2459086.0568878474	2459086.0567142363	2459086.062022553	2459086.062790151	-1	-83.4929958001054	-10.20308404	30	0.0176650098479694	0.1151320275625999	5.173677188640675	10	16	20	564.0774412010988	520.0808213986832	564.5774412010988	504.41917860131684	21.54290602564269	-2.978595276786741	41511.814448219404	314.1592653589792	231.26798174422996	179.49659150884645	1463	132.1362093229536	19.9453125	384	5.173677188640675	6.850435888843858	6.556715407165411	7.144156370522305	56.2827238481938	0.9502462345163236
aligned_Sabine_V_30s_20200824_132219_out.fits	7	0	59086.05692457175	2459086.0569245717	2459086.0567509606	2459086.062059279	2459086.0628268775	-1	-83.50625068225997	-9.787817268	30	0.0176650100157507	0.1151320286536324	4.991994819528308	10	16	20	565.2088277776204	519.6055951079732	565.7088277776204	504.89440489202684	21.542890988757925	-2.978472414739295	41985.15414637959	314.15926535897927	230.49744353399421	182.1501943911475	1755	133.64289637742996	18.508997429305914	389	4.991994819528308	6.4821038182325035	6.301273382330469	6.662934254134538	60.826440058224534	0.9887136255639729
aligned_Sabine_V_30s_20200824_132256_out.fits	8	0	59086.05735686328	2459086.0573568633	2459086.057183252	2459086.06249159	2459086.0632591886	-1	-83.66227645385106	-10.20308404	30	0.0176650119908174	0.1151320414969121	4.3602739484579285	10	16	20	565.5276510339315	519.4186697682433	566.0276510339315	505.08133023175674	21.542889387898708	-2.9785338897926503	42297.24008231494	314.1592653589794	231.84036029887537	182.44122821318837	2034	134.63629676490135	18.64814814814815	378	4.3602739484579285	6.30797111093951	6.132334220468319	6.483608001410701	57.305143155883066	0.9821464045920166
aligned_Sabine_V_30s_20200824_132333_out.fits	9	0	59086.05778734945	2459086.0577873494	2459086.0576137383	2459086.062922096	2459086.0636896947	-1	-83.81764935802067	-9.787817268	30	0.0176650139577688	0.1151320542874193	4.298951636169063	10	16	20	565.3106163282986	520.0198043461586	565.8106163282986	504.4801956538414	21.542883930598848	-2.9785826933466066	42049.496116333874	314.1592653589793	231.0815391976772	181.9682189340227	2047	133.84770322875983	18.51697127937337	383	4.298951636169063	6.0501640296738	6.145542872369858	5.954785186977743	36.5809442770873	0.9881583731981681
aligned_Sabine_V_30s_20200824_132410_out.fits	10	0	59086.05821633106	2459086.058216331	2459086.05804272	2459086.063351097	2459086.064118696	-1	-83.97247788470332	-9.787817268	30	0.0176650159179777	0.1151320670340816	4.295063408512339	10	16	20	566.6068141464125	519.2011836339062	567.1068141464125	505.2988163660938	21.542874839846412	-2.9785496962990186	42179.381522240175	314.15926535897927	230.8704442907861	182.6971904169525	2302	134.26114131646955	19.43765903307888	393	4.295063408512339	5.8805540583059255	5.867936962065933	5.893171154545919	45.79656673510111	0.9761772880926477
